チーム,試合,得点数,失点,PKゴール数,アシスト数,枠内シュート数,シュート,CK数,FK数,オフサイド数,ショートパス数,ロングパス数,クロス数,タックル数,被タックル数,ファウル数,被ファウル数,イエロー数,レッド数,順位
イタリア,7,12,2,1,9,48,83,44,8,34,2257,711,140,187,178,106,152,11,2,１位
フランス,7,9,3,2,5,35,77,41,2,29,2273,553,165,152,204,125,126,16,1,２位
ドイツ,7,13,6,0,8,50,113,33,8,21,2392,821,202,220,186,125,133,12,0,３位
ポルトガル,7,7,5,2,5,51,100,44,8,19,2547,674,166,167,194,121,116,24,2,４位
アルゼンチン,5,11,3,0,10,26,53,28,3,24,1923,510,93,140,131,101,106,12,1,ベスト8
ブラジル,5,10,2,0,8,37,68,31,6,15,2038,372,88,127,124,75,91,11,0,ベスト8
イングランド,5,5,2,0,3,29,67,30,4,10,1600,555,134,120,93,75,79,9,1,ベスト8
ウクライナ,5,5,7,1,3,26,56,19,3,13,1444,592,119,170,101,108,93,12,1,ベスト8
スペイン,4,9,4,3,4,35,69,37,5,3,1814,372,98,83,102,71,77,6,0,ベスト16
エクアドル,4,5,4,0,5,18,40,17,5,11,1356,375,59,91,113,79,62,9,0,ベスト16
メキシコ,4,5,5,0,5,21,46,22,4,5,1527,383,106,117,103,91,84,12,1,ベスト16
オーストラリア,4,5,6,1,2,27,54,20,4,9,1339,360,107,99,101,98,56,11,1,ベスト16
スイス,4,4,0,0,3,25,46,22,6,8,1420,423,92,109,101,64,73,12,0,ベスト16
ガーナ,4,4,6,1,2,23,61,17,2,25,1311,353,77,67,88,100,55,18,1,ベスト16
スウェーデン,4,3,4,0,3,24,49,30,3,7,1072,380,126,98,94,66,51,10,1,ベスト16
オランダ,4,3,2,0,2,26,50,19,7,12,1275,411,80,91,73,85,53,16,2,ベスト16
コートジボアール,3,5,6,2,2,23,49,23,2,11,1002,272,79,44,83,45,55,9,1,予選敗退
コスタリカ,3,3,9,0,2,11,28,9,3,9,911,292,49,87,78,49,49,8,0,予選敗退
チェコ,3,3,4,0,2,17,35,15,2,14,907,324,66,63,62,53,51,7,2,予選敗退
韓国,3,3,4,0,2,16,36,11,4,6,945,319,63,72,64,46,44,9,0,予選敗退
チュニジア,3,3,6,0,1,8,19,7,3,12,746,294,36,75,95,65,37,14,1,予選敗退
サウジアラビア,3,2,7,0,2,9,26,10,6,6,805,235,38,85,86,58,60,5,0,予選敗退
ポーランド,3,2,4,0,2,13,22,23,4,6,898,294,66,71,83,46,48,10,1,予選敗退
イラン,3,2,6,0,1,19,30,9,1,7,741,234,69,69,76,58,66,8,0,予選敗退
日本,3,2,7,0,1,10,27,11,4,8,878,269,50,68,62,39,45,7,0,予選敗退
セルビア モンテネグロ,3,2,10,0,1,8,21,11,5,3,567,221,67,63,46,59,47,12,2,予選敗退
クロアチア,3,2,3,0,0,12,33,22,2,12,710,245,77,82,73,59,61,11,2,予選敗退
アンゴラ,3,1,2,0,1,11,34,13,3,14,650,269,61,72,73,74,52,11,1,予選敗退
パラグアイ,3,1,2,0,1,14,39,11,2,7,796,279,46,64,95,46,49,8,0,予選敗退
トーゴ,3,1,6,0,1,12,27,9,3,13,693,270,54,68,72,57,41,10,1,予選敗退
アメリカ,3,1,6,0,1,4,21,12,1,7,834,328,75,61,51,55,60,5,2,予選敗退
トリニダードトバコ,3,0,4,0,0,7,22,5,0,6,557,278,47,83,80,50,37,10,1,予選敗退